WeaponID,WeaponName,WeaponDescription,FireMode,ClipSize,ReserveSize,FireRate,ReloadTime,Damage,BulletSpeed,Spread,Penetration,DepletionAmount,BaseCost,AssetDirectory
0,Browning Hi-Power L9A1,Semi Auto High Cap Sidearm(UK Circa 1950-2010),semi,13,130,210,600,8,800,0.08,0,1,200,public/assets/wallpurchases/weapons/BrowningHiPower
1,L1A1 SLR,Semi Auto Self Loading Rifle(UK Circa 1950-1980),semi,20,300,140,1800,17,1400,0.04,2,1,600,public/assets/wallpurchases/weapons/L1A1SLR
2,Webley Mark IV,Revolvers are a classic for a reason(UK Circa 1930-1960),semi,6,240,200,1000,24,1800,0.09,3,1,800,NA
3,Sawed Off Farmers Shotgun,Ba Bam-Ba Bam-Reload-Ba Bam-Ba Bam(This Hurts),semi,2,180,250,1200,7x30,1200,0.24,0,1,1200,NA
4,Sterling SMG,Iconic UK smg - deadly in the right hands(UK Circa 1950-1990),auto,34,442,80,1200,21,1200,0.13,1,1,1350,NA
5,Remington 870,Pump Action Shotgun(UK Introduced 1950),semi,6,224,140,1400,13x35,1400,0.28,1,1,1600,NA
6,Mossberg 500,Pump Action Shotgun(UK Adopted 1960 - US Made),semi,8,260,130,1400,9x30,1400,0.28,3,1,1750,NA
7,FN MAG,Belgian High Capacity Killing Machine with a custom mag(is it considered killing if the zombies are already dead?)(UK Circa 1958/1959),semi,120,500,150,2500,26,2100,0.13,3,1,2500,NA
8,Tec-9,Tec-9s are awesome - the worlds greatest spy and fry cook - how did he know its called a Tec-9(circa 1990),semi,32,320,100,600,32,1400,0.10,2,1,1800,NA
9,HK G11,Who wants a burst weapon? (me). With a custom mag too? (yep)(circa 1980),burst,60,450,300,1500,3x30,2400,0.004,2,3,2250,NA
999,Dusty Revolver(default),Not very powerful but survivors cant be choosers,semi,8,64,400,1200,6,600,0.05,0,1,0,NA
1000,(startOfUpgradedWeapons)Browning Hi-Power L9A1,Semi Auto High Cap Sidearm(UK Circa 1950-2010),semi,13,130,210,600,8,800,0.08,0,1,200,public/assets/wallpurchases/weapons/BrowningHiPower
1001,L1A1 SLR,Semi Auto Self Loading Rifle(UK Circa 1950-1980),semi,20,300,140,1800,17,1400,0.04,2,1,600,public/assets/wallpurchases/weapons/L1A1SLR
1002,Webley Mark IV,Revolvers are a classic for a reason(UK Circa 1930-1960),semi,6,240,200,1000,24,1800,0.09,3,1,800,NA
1003,Sawed Off Farmers Shotgun,Ba Bam-Ba Bam-Reload-Ba Bam-Ba Bam(This Hurts),semi,2,180,250,1200,7x30,1200,0.24,0,1,1200,NA
1004,Sterling SMG,Iconic UK smg - deadly in the right hands(UK Circa 1950-1990),auto,34,442,80,1200,21,1200,0.13,1,1,1350,NA
1005,Remington 870,Pump Action Shotgun(UK Introduced 1950),semi,6,224,140,1400,13x35,1400,0.28,1,1,1600,NA
1006,Mossberg 500,Pump Action Shotgun(UK Adopted 1960 - US Made),semi,8,260,130,1400,9x30,1400,0.28,3,1,1750,NA
1007,FN MAG,Belgian High Capacity Killing Machine with a custom mag(is it considered killing if the zombies are already dead?)(UK Circa 1958/1959),semi,120,500,150,2500,26,2100,0.13,3,1,2500,NA
1008,Tec-9,Tec-9s are awesome - the worlds greatest spy and fry cook - how did he know its called a Tec-9(circa 1990),semi,32,320,100,600,32,1400,0.10,2,1,1800,NA
1009,HK G11,Who wants a burst weapon? (me). With a custom mag too? (yep)(circa 1980),burst,60,450,300,1500,3x30,2400,0.004,2,3,2250,NA
1999,Rusty Devil,Hoarding old junk with sentimental value some times pays off,burst,60,320,250,600,3x80,2800,0.02,2,3,0,NA
